time_sec,amplitude,class
0.0,-29.0,inter_ictal
0.005760036864235931,-40.0,inter_ictal
0.011520073728471861,-44.0,inter_ictal
0.017280110592707794,-51.0,inter_ictal
0.023040147456943723,-53.0,inter_ictal
0.028800184321179652,-51.0,inter_ictal
0.03456022118541559,-49.0,inter_ictal
0.04032025804965152,-51.0,inter_ictal
0.046080294913887446,-53.0,inter_ictal
0.051840331778123375,-54.0,inter_ictal
0.057600368642359304,-61.0,inter_ictal
0.06336040550659523,-67.0,inter_ictal
0.06912044237083118,-66.0,inter_ictal
0.0748804792350671,-66.0,inter_ictal
0.08064051609930303,-60.0,inter_ictal
0.08640055296353896,-52.0,inter_ictal
0.09216058982777489,-41.0,inter_ictal
0.09792062669201082,-32.0,inter_ictal
0.10368066355624675,-27.0,inter_ictal
0.10944070042048268,-25.0,inter_ictal
0.11520073728471861,-27.0,inter_ictal
0.12096077414895455,-32.0,inter_ictal
0.12672081101319047,-33.0,inter_ictal
0.1324808478774264,-37.0,inter_ictal
0.13824088474166235,-47.0,inter_ictal
0.14400092160589828,-53.0,inter_ictal
0.1497609584701342,-55.0,inter_ictal
0.15552099533437014,-58.0,inter_ictal
0.16128103219860607,-61.0,inter_ictal
0.167041069062842,-63.0,inter_ictal
0.17280110592707792,-63.0,inter_ictal
0.17856114279131385,-60.0,inter_ictal
0.18432117965554978,-59.0,inter_ictal
0.1900812165197857,-54.0,inter_ictal
0.19584125338402164,-54.0,inter_ictal
0.20160129024825757,-60.0,inter_ictal
0.2073613271124935,-61.0,inter_ictal
0.21312136397672943,-63.0,inter_ictal
0.21888140084096536,-62.0,inter_ictal
0.22464143770520129,-58.0,inter_ictal
0.23040147456943721,-47.0,inter_ictal
0.23616151143367317,-34.0,inter_ictal
0.2419215482979091,-26.0,inter_ictal
0.24768158516214503,-13.0,inter_ictal
0.25344162202638093,-5.0,inter_ictal
0.25920165889061686,1.0,inter_ictal
0.2649616957548528,4.0,inter_ictal
0.2707217326190887,5.0,inter_ictal
0.2764817694833247,1.0,inter_ictal
0.28224180634756063,-5.0,inter_ictal
0.28800184321179656,-12.0,inter_ictal
0.2937618800760325,-19.0,inter_ictal
0.2995219169402684,-29.0,inter_ictal
0.30528195380450435,-39.0,inter_ictal
0.3110419906687403,-41.0,inter_ictal
0.3168020275329762,-41.0,inter_ictal
0.32256206439721213,-43.0,inter_ictal
0.32832210126144806,-42.0,inter_ictal
0.334082138125684,-35.0,inter_ictal
0.3398421749899199,-34.0,inter_ictal
0.34560221185415585,-25.0,inter_ictal
0.3513622487183918,-12.0,inter_ictal
0.3571222855826277,7.0,inter_ictal
0.36288232244686364,27.0,inter_ictal
0.36864235931109957,40.0,inter_ictal
0.3744023961753355,48.0,inter_ictal
0.3801624330395714,47.0,inter_ictal
0.38592246990380735,40.0,inter_ictal
0.3916825067680433,25.0,inter_ictal
0.3974425436322792,20.0,inter_ictal
0.40320258049651514,7.0,inter_ictal
0.40896261736075107,-1.0,inter_ictal
0.414722654224987,-3.0,inter_ictal
0.4204826910892229,0.0,inter_ictal
0.42624272795345886,2.0,inter_ictal
0.4320027648176948,12.0,inter_ictal
0.4377628016819307,23.0,inter_ictal
0.44352283854616664,24.0,inter_ictal
0.44928287541040257,25.0,inter_ictal
0.4550429122746385,22.0,inter_ictal
0.46080294913887443,13.0,inter_ictal
0.4665629860031104,2.0,inter_ictal
0.47232302286734634,-10.0,inter_ictal
0.47808305973158227,-28.0,inter_ictal
0.4838430965958182,-56.0,inter_ictal
0.48960313346005413,-81.0,inter_ictal
0.49536317032429006,-75.0,inter_ictal
0.501123207188526,-46.0,inter_ictal
0.5068832440527619,4.0,inter_ictal
0.5126432809169978,36.0,inter_ictal
0.5184033177812337,42.0,inter_ictal
0.5241633546454697,35.0,inter_ictal
0.5299233915097056,29.0,inter_ictal
0.5356834283739416,22.0,inter_ictal
0.5414434652381774,5.0,inter_ictal
0.5472035021024134,-22.0,inter_ictal
