time_sec,amplitude,class
0.0,661.0,ictal
0.005760036864235931,721.0,ictal
0.011520073728471861,702.0,ictal
0.017280110592707794,628.0,ictal
0.023040147456943723,519.0,ictal
0.028800184321179652,394.0,ictal
0.03456022118541559,308.0,ictal
0.04032025804965152,226.0,ictal
0.046080294913887446,145.0,ictal
0.051840331778123375,64.0,ictal
0.057600368642359304,-15.0,ictal
0.06336040550659523,-87.0,ictal
0.06912044237083118,-191.0,ictal
0.0748804792350671,-338.0,ictal
0.08064051609930303,-488.0,ictal
0.08640055296353896,-618.0,ictal
0.09216058982777489,-695.0,ictal
0.09792062669201082,-709.0,ictal
0.10368066355624675,-666.0,ictal
0.10944070042048268,-589.0,ictal
0.11520073728471861,-500.0,ictal
0.12096077414895455,-450.0,ictal
0.12672081101319047,-351.0,ictal
0.1324808478774264,-160.0,ictal
0.13824088474166235,124.0,ictal
0.14400092160589828,407.0,ictal
0.1497609584701342,602.0,ictal
0.15552099533437014,677.0,ictal
0.16128103219860607,681.0,ictal
0.167041069062842,595.0,ictal
0.17280110592707792,492.0,ictal
0.17856114279131385,364.0,ictal
0.18432117965554978,274.0,ictal
0.1900812165197857,196.0,ictal
0.19584125338402164,121.0,ictal
0.20160129024825757,45.0,ictal
0.2073613271124935,-32.0,ictal
0.21312136397672943,-87.0,ictal
0.21888140084096536,-170.0,ictal
0.22464143770520129,-294.0,ictal
0.23040147456943721,-430.0,ictal
0.23616151143367317,-588.0,ictal
0.2419215482979091,-691.0,ictal
0.24768158516214503,-738.0,ictal
0.25344162202638093,-723.0,ictal
0.25920165889061686,-639.0,ictal
0.2649616957548528,-546.0,ictal
0.2707217326190887,-482.0,ictal
0.2764817694833247,-395.0,ictal
0.28224180634756063,-231.0,ictal
0.28800184321179656,52.0,ictal
0.2937618800760325,349.0,ictal
0.2995219169402684,575.0,ictal
0.30528195380450435,688.0,ictal
0.3110419906687403,704.0,ictal
0.3168020275329762,669.0,ictal
0.32256206439721213,563.0,ictal
0.32832210126144806,451.0,ictal
0.334082138125684,331.0,ictal
0.3398421749899199,237.0,ictal
0.34560221185415585,144.0,ictal
0.3513622487183918,68.0,ictal
0.3571222855826277,-13.0,ictal
